y_number,t250,t100,t50,t25,t10,t5,t2,t0,wg_number,clustercode,reference_name,pipeline_time,pipeline_date
Y19-2139,1,1,2,109,144,156,161,171,WG19-00054,RT015_TL174.1.1.2.109.144.156,RT015_TL174,,
2615-SP,1,1,2,109,144,156,161,171,WG19-00054,RT015_TL174.1.1.2.109.144.156,RT015_TL174,,
Y19-3047,1,1,2,109,144,156,161,171,WG19-00054,RT015_TL174.1.1.2.109.144.156,RT015_TL174,1457,2019-09-09
Y19-3205-SP,1,1,2,147,197,224,233,260,WG19-00074,RT015_TL174.1.1.2.147.197.224,RT015_TL174,1157,2019-09-16
3205-SP,1,1,2,147,197,224,233,260,WG19-00074,RT015_TL174.1.1.2.147.197.224,RT015_TL174,1157,2019-09-16
Y19-3205-R,1,1,2,147,197,224,233,260,WG19-00074,RT015_TL174.1.1.2.147.197.224,RT015_TL174,1157,2019-09-16
3205-R,1,1,2,147,197,224,233,260,WG19-00074,RT015_TL174.1.1.2.147.197.224,RT015_TL174,1157,2019-09-16
D2063,1,1,2,2,105,112,115,120,WG19-00045,RT015_TL174.1.1.2.2.105.112,RT015_TL174,,
D2064,1,1,2,2,105,112,115,120,WG19-00045,RT015_TL174.1.1.2.2.105.112,RT015_TL174,,
TC_D2068,1,1,2,2,105,112,115,120,WG19-00045,RT015_TL174.1.1.2.2.105.112,RT015_TL174,,
D783A,1,1,2,2,111,118,121,126,WG19-00046,RT015_TL174.1.1.2.2.111.118,RT015_TL174,,
D932.r1,1,1,2,2,111,118,121,126,WG19-00046,RT015_TL174.1.1.2.2.111.118,RT015_TL174,,
D790A,1,1,2,2,112,119,122,127,WG19-00047,RT015_TL174.1.1.2.2.112.119,RT015_TL174,,
D862AUTO,1,1,2,2,112,119,122,127,WG19-00047,RT015_TL174.1.1.2.2.112.119,RT015_TL174,,
D862MANUAL,1,1,2,2,112,119,122,127,WG19-00047,RT015_TL174.1.1.2.2.112.119,RT015_TL174,,
D938,1,1,2,2,112,119,122,127,WG19-00047,RT015_TL174.1.1.2.2.112.119,RT015_TL174,,
TC_D862,1,1,2,2,112,119,122,127,WG19-00047,RT015_TL174.1.1.2.2.112.119,RT015_TL174,,
TC_D1709,1,1,2,91,120,127,130,135,WG19-00070,RT015_TL174.1.1.2.2.120.127,RT015_TL174,,
Y2421,1,1,2,91,120,127,130,135,WG19-00070,RT015_TL174.1.1.2.2.120.127,RT015_TL174,,
Y19-2188,1,1,2,3,172,192,198,214,WG19-00071,RT015_TL174.1.1.2.2.172.192,RT015_TL174,,
Y19-2595,1,1,2,3,172,192,198,214,WG19-00071,RT015_TL174.1.1.2.2.172.192,RT015_TL174,,
Y1,1,1,2,2,2,161,166,176,WG19-00056,RT015_TL174.1.1.2.2.2.161,RT015_TL174,,
Y4348,1,1,2,2,2,161,166,176,WG19-00056,RT015_TL174.1.1.2.2.2.161,RT015_TL174,,
Y3062A,1,1,2,2,2,170,176,188,WG19-00063,RT015_TL174.1.1.2.2.2.170,RT015_TL174,,
Y3062B,1,1,2,2,2,170,176,188,WG19-00063,RT015_TL174.1.1.2.2.2.170,RT015_TL174,,
Y3062C,1,1,2,2,2,170,176,188,WG19-00063,RT015_TL174.1.1.2.2.2.170,RT015_TL174,,
59a700ff-5b72-4e5c-9d78-23bbbe8a7630,1,1,2,2,2,18,18,18,WG19-00021,RT015_TL174.1.1.2.2.2.18,RT015_TL174,,
9784da66-9f64-4ade-8ea4-3c184c9a7bf9,1,1,2,2,2,18,18,18,WG19-00021,RT015_TL174.1.1.2.2.2.18,RT015_TL174,,
a6fd3864-d940-4165-b3ee-1a432877a3da,1,1,2,2,2,18,18,24,WG19-00021,RT015_TL174.1.1.2.2.2.18,RT015_TL174,,
bb373c64-6817-46a0-a411-c9f0dc898768,1,1,2,2,2,18,18,26,WG19-00021,RT015_TL174.1.1.2.2.2.18,RT015_TL174,,
e4b79529-b604-448b-a273-1dc8fbfef36e,1,1,2,2,2,18,18,212,WG19-00021,RT015_TL174.1.1.2.2.2.18,RT015_TL174,,
034d5a20-3f40-4e09-afe0-b14330ffafe4,1,1,2,2,2,2,2,2,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
40d88a5a-46bf-47f3-a8d4-b5f76834143d,1,1,2,2,2,2,2,2,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
D1010,1,1,2,2,2,2,27,29,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
1149_SP,1,1,2,2,2,2,58,60,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
1149_W,1,1,2,2,2,2,58,61,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
143,1,1,2,2,2,2,81,85,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
146,1,1,2,2,2,2,81,85,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
D2022,1,1,2,2,2,2,81,85,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
D2055,1,1,2,2,2,2,114,119,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
D2681,1,1,2,2,2,2,114,119,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
TC_D211,1,1,2,2,2,2,27,29,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
Y19-2835,1,1,2,2,2,2,223,246,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,1247,2019-08-21
Y19-2732,1,1,2,2,2,212,218,239,WG19-00072,RT015_TL174.1.1.2.2.2.212,RT015_TL174,,
Y19-2732,1,1,2,2,2,212,218,239,WG19-00072,RT015_TL174.1.1.2.2.2.212,RT015_TL174,1340,2019-08-18
1161.r1,1,1,2,3,54,57,59,62,WG19-00078,RT015_TL174.1.1.2.2.3.57,RT015_TL174,,
1177,1,1,2,3,54,57,59,62,WG19-00078,RT015_TL174.1.1.2.2.3.57,RT015_TL174,,
1180-RPT,1,1,2,3,54,57,59,62,WG19-00078,RT015_TL174.1.1.2.2.3.57,RT015_TL174,,
119,1,1,2,3,3,64,66,69,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
TC_D1819,1,1,2,3,3,64,131,136,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y2143,1,1,2,3,3,162,167,178,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y2210LG,1,1,2,3,3,163,168,179,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y2210LG.r1,1,1,2,3,3,163,168,179,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y2210SM,1,1,2,3,3,163,168,179,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y2376,1,1,2,3,3,64,170,181,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y19-2966,1,1,2,2,3,64,66,251,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,0927,2019-08-31
Y19-3129R,1,1,2,2,3,64,66,254,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,1117,2019-09-11
Y19-3129SP,1,1,2,2,3,64,66,254,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,1117,2019-09-11
Y19-3208,1,1,2,2,3,64,66,251,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,1037,2019-09-16
Y19-3207,1,1,2,2,3,64,66,251,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,1157,2019-09-16
Y19-3208,1,1,2,2,3,64,66,251,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,1157,2019-09-16
0865fed8-64f8-40fd-bdf7-996ca28517c7,1,1,2,3,3,3,3,3,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
15f5d864-de71-4211-a0e3-22d94d342c54,1,1,2,3,3,5,5,5,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
1061,1,1,2,3,3,45,46,48,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
1187,1,1,2,3,3,60,62,65,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
1189-QA,1,1,2,3,3,60,62,65,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y19-1586,1,1,2,3,134,144,147,154,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y19-1586.r1,1,1,2,3,134,144,147,154,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y19-2005,1,1,2,3,3,64,131,136,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y19-2007,1,1,2,3,3,64,131,136,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
D926,1,1,2,2,35,38,39,41,WG19-00023,RT015_TL174.1.1.2.2.35.38,RT015_TL174,,
403A,1,1,2,2,35,38,39,41,WG19-00023,RT015_TL174.1.1.2.2.35.38,RT015_TL174,,
403B,1,1,2,2,35,38,39,41,WG19-00023,RT015_TL174.1.1.2.2.35.38,RT015_TL174,,
TC_D151,1,1,2,2,35,38,39,41,WG19-00023,RT015_TL174.1.1.2.2.35.38,RT015_TL174,,
1225,1,1,2,2,35,68,70,74,WG19-00034,RT015_TL174.1.1.2.2.35.68,RT015_TL174,,
1226,1,1,2,2,35,68,70,74,WG19-00034,RT015_TL174.1.1.2.2.35.68,RT015_TL174,,
1116,1,1,2,2,49,52,53,55,WG19-00026,RT015_TL174.1.1.2.2.49.52,RT015_TL174,,
134,1,1,2,2,49,52,53,55,WG19-00026,RT015_TL174.1.1.2.2.49.52,RT015_TL174,,
1689,1,1,2,2,49,52,53,55,WG19-00026,RT015_TL174.1.1.2.2.49.52,RT015_TL174,,
Y19-2173,1,1,2,2,49,52,53,55,WG19-00026,RT015_TL174.1.1.2.2.49.52,RT015_TL174,,
Y19-3218,1,1,2,2,49,52,53,55,WG19-00026,RT015_TL174.1.1.2.2.49.52,RT015_TL174,1052,2019-09-17
1325,1,1,2,46,55,58,60,63,WG19-00069,RT015_TL174.1.1.2.2.55.58,RT015_TL174,,
1181,1,1,2,46,55,58,60,63,WG19-00069,RT015_TL174.1.1.2.2.55.58,RT015_TL174,,
1320,1,1,2,2,64,70,72,76,WG19-00035,RT015_TL174.1.1.2.2.64.70,RT015_TL174,,
993-R,1,1,2,2,64,70,72,116,WG19-00035,RT015_TL174.1.1.2.2.64.70,RT015_TL174,,
993-SP,1,1,2,2,64,70,72,116,WG19-00035,RT015_TL174.1.1.2.2.64.70,RT015_TL174,,
Y19-1631,1,1,2,2,64,70,150,158,WG19-00035,RT015_TL174.1.1.2.2.64.70,RT015_TL174,,
Y2632,1,1,2,2,64,70,150,186,WG19-00035,RT015_TL174.1.1.2.2.64.70,RT015_TL174,,
648-L,1,1,2,2,89,95,98,102,WG19-00040,RT015_TL174.1.1.2.2.89.95,RT015_TL174,,
648-S,1,1,2,2,89,95,98,102,WG19-00040,RT015_TL174.1.1.2.2.89.95,RT015_TL174,,
660rpt,1,1,2,2,90,96,99,103,WG19-00041,RT015_TL174.1.1.2.2.90.96,RT015_TL174,,
786,1,1,2,2,90,96,99,103,WG19-00041,RT015_TL174.1.1.2.2.90.96,RT015_TL174,,
1098,1,1,2,40,47,50,51,53,WG19-00025,RT015_TL174.1.1.2.40.47.50,RT015_TL174,,
1107,1,1,2,40,47,50,51,53,WG19-00025,RT015_TL174.1.1.2.40.47.50,RT015_TL174,,
Y19-2820D,1,1,2,42,50,53,54,56,WG19-00073,RT015_TL174.1.1.2.42.50.53,RT015_TL174,1448,2019-08-18
Y19-2820SP,1,1,2,42,50,53,54,56,WG19-00073,RT015_TL174.1.1.2.42.50.53,RT015_TL174,1448,2019-08-18
1120,1,1,2,42,50,53,54,56,WG19-00073,RT015_TL174.1.1.2.42.50.53,RT015_TL174,,
1197,1,1,2,48,57,61,63,66,WG19-00032,RT015_TL174.1.1.2.48.57.61,RT015_TL174,,
1222,1,1,2,48,57,61,63,73,WG19-00032,RT015_TL174.1.1.2.48.57.61,RT015_TL174,,
619,1,1,2,48,57,61,63,73,WG19-00032,RT015_TL174.1.1.2.48.57.61,RT015_TL174,,
Y19-1562,1,1,2,48,57,61,63,73,WG19-00032,RT015_TL174.1.1.2.48.57.61,RT015_TL174,,
Y19-1587,1,1,2,48,57,61,63,73,WG19-00032,RT015_TL174.1.1.2.48.57.61,RT015_TL174,,
Y19-1833SP,1,1,2,48,57,61,63,66,WG19-00032,RT015_TL174.1.1.2.48.57.61,RT015_TL174,,
Y19-2377,1,1,2,48,57,61,63,73,WG19-00032,RT015_TL174.1.1.2.48.57.61,RT015_TL174,,
2605,1,1,2,48,57,61,63,231,WG19-00032,RT015_TL174.1.1.2.48.57.61,RT015_TL174,,
2934R,1,1,2,48,57,61,63,66,WG19-00032,RT015_TL174.1.1.2.48.57.61,RT015_TL174,1307,2019-08-30
138,1,1,46,61,71,77,79,83,WG19-00037,RT015_TL174.1.1.46.61.71.77,RT015_TL174,,
140-LARGE,1,1,46,61,71,77,79,83,WG19-00037,RT015_TL174.1.1.46.61.71.77,RT015_TL174,,
140-SMALL,1,1,46,61,71,77,79,83,WG19-00037,RT015_TL174.1.1.46.61.71.77,RT015_TL174,,
Y19-2603-SP,21,31,104,141,186,209,215,235,WG19-00080,RT015_TL174.1.31.104.141.186.209,RT015_TL174,,
Y19-2606,21,31,104,141,186,209,215,235,WG19-00080,RT015_TL174.1.31.104.141.186.209,RT015_TL174,,
Y19-2826,1,31,32,144,191,216,222,245,WG19-00083,RT015_TL174.1.31.32.144.191.216,RT015_TL174,1247,2019-08-21
Y19-2998,1,31,32,144,191,216,222,245,WG19-00083,RT015_TL174.1.31.32.144.191.216,RT015_TL174,1247,2019-09-03
1049,21,31,32,35,40,43,44,46,WG19-00081,RT015_TL174.1.31.32.35.40.43,RT015_TL174,,
252,21,31,32,35,40,43,44,46,WG19-00081,RT015_TL174.1.31.32.35.40.43,RT015_TL174,,
Y19-1732LSP,21,31,32,35,40,43,44,46,WG19-00081,RT015_TL174.1.31.32.35.40.43,RT015_TL174,,
Y19-2225,21,31,61,79,97,103,106,163,WG19-00079,RT015_TL174.1.31.61.79.97.103,RT015_TL174,,
837,21,31,61,79,97,103,106,110,WG19-00079,RT015_TL174.1.31.61.79.97.103,RT015_TL174,,
Y19-1870,21,31,61,79,97,103,106,163,WG19-00079,RT015_TL174.1.31.61.79.97.103,RT015_TL174,,
Y19-2311-R,1,33,16,137,181,203,209,227,WG19-00075,RT015_TL174.1.33.16.137.181.203,RT015_TL174,,
Y19-2887,1,33,16,137,181,203,209,227,WG19-00075,RT015_TL174.1.33.16.137.181.203,RT015_TL174,1030,2019-08-27
94b07b9b-8db4-463d-aacb-3872e3456d7a,1,33,16,18,20,22,22,22,WG19-00022,RT015_TL174.1.33.16.18.20.22,RT015_TL174,,
b7ce2f5f-881b-4f63-821a-ce0cd7a1e535,1,33,16,18,20,22,22,22,WG19-00022,RT015_TL174.1.33.16.18.20.22,RT015_TL174,,
1097,1,33,35,39,46,49,50,52,WG19-00024,RT015_TL174.1.33.35.39.46.49,RT015_TL174,,
1161,1,33,35,39,46,49,50,52,WG19-00024,RT015_TL174.1.33.35.39.46.49,RT015_TL174,,
1162,1,33,35,39,46,49,50,52,WG19-00024,RT015_TL174.1.33.35.39.46.49,RT015_TL174,,
Y19-2279,1,33,35,39,46,49,50,52,WG19-00024,RT015_TL174.1.33.35.39.46.49,RT015_TL174,,
Y19-2375,1,33,35,39,46,49,50,52,WG19-00024,RT015_TL174.1.33.35.39.46.49,RT015_TL174,,
Y19-2507,1,33,35,39,46,49,50,52,WG19-00024,RT015_TL174.1.33.35.39.46.49,RT015_TL174,,
Y19-2971R,1,33,35,39,46,49,50,52,WG19-00024,RT015_TL174.1.33.35.39.46.49,RT015_TL174,0927,2019-08-31
Y19-2971SP,1,33,35,39,46,49,50,52,WG19-00024,RT015_TL174.1.33.35.39.46.49,RT015_TL174,0927,2019-08-31
1347,1,39,44,59,69,75,77,81,WG19-00036,RT015_TL174.1.39.44.59.69.75,RT015_TL174,,
1349,1,39,44,59,69,75,77,81,WG19-00036,RT015_TL174.1.39.44.59.69.75,RT015_TL174,,
2a60b2b2-ed88-44a3-a40c-d6132fa8de7a,1,5,6,7,8,9,9,9,WG19-00019,RT015_TL174.1.5.6.7.8.9,RT015_TL174,,
e062ed50-ef45-4753-a6cc-4dc518353090,1,5,6,7,8,9,9,210,WG19-00019,RT015_TL174.1.5.6.7.8.9,RT015_TL174,,
699-L-SP,8,50,58,76,93,99,102,106,WG19-00076,RT015_TL174.1.50.58.76.93.99,RT015_TL174,,
699-R,8,50,58,76,93,99,102,106,WG19-00076,RT015_TL174.1.50.58.76.93.99,RT015_TL174,,
D863AUTO,1,54,66,87,113,120,123,128,WG19-00048,RT015_TL174.1.54.66.87.113.120,RT015_TL174,,
D863MANUAL,1,54,66,87,113,120,123,128,WG19-00048,RT015_TL174.1.54.66.87.113.120,RT015_TL174,,
TC_D863,1,54,66,87,113,120,123,128,WG19-00048,RT015_TL174.1.54.66.87.113.120,RT015_TL174,,
Y1756J,1,59,74,99,130,139,142,147,WG19-00050,RT015_TL174.1.59.74.99.130.139,RT015_TL174,,
Y1756R,1,59,74,99,130,139,142,148,WG19-00050,RT015_TL174.1.59.74.99.130.139,RT015_TL174,,
Y19-1971R,8,63,78,104,139,150,155,165,WG19-00082,RT015_TL174.1.63.78.104.139.150,RT015_TL174,,
Y19-1971SP,8,63,78,104,139,150,155,165,WG19-00082,RT015_TL174.1.63.78.104.139.150,RT015_TL174,,
Y19-1972R,8,63,78,104,139,150,155,165,WG19-00082,RT015_TL174.1.63.78.104.139.150,RT015_TL174,,
Y19-1972SP,8,63,78,104,139,150,155,165,WG19-00082,RT015_TL174.1.63.78.104.139.150,RT015_TL174,,
Y19-2276,1,7,8,134,178,199,205,222,WG19-00060,RT015_TL174.1.7.8.134.178.199,RT015_TL174,,
Y19-2361,1,7,8,134,178,199,205,222,WG19-00060,RT015_TL174.1.7.8.134.178.199,RT015_TL174,,
Y19-2362,1,7,8,134,178,199,205,222,WG19-00060,RT015_TL174.1.7.8.134.178.199,RT015_TL174,,
Y19-2364,1,7,8,134,178,199,205,222,WG19-00060,RT015_TL174.1.7.8.134.178.199,RT015_TL174,,
18bfc1a7-c5fe-4219-b427-ce5e43fb4f65,1,7,8,4,5,6,6,6,WG19-00018,RT015_TL174.1.7.8.4.5.6,RT015_TL174,,
Y19-2715,1,7,8,4,5,6,6,238,WG19-00018,RT015_TL174.1.7.8.4.5.6,RT015_TL174,,
Y19-2715,1,7,8,4,5,6,6,238,WG19-00018,RT015_TL174.1.7.8.4.5.6,RT015_TL174,1448,2019-08-18
3d33a560-f39a-4372-bd87-d258f4563b85,1,7,8,47,10,11,11,11,WG19-00020,RT015_TL174.1.7.8.47.10.11,RT015_TL174,,
57bd6764-a9bb-4bc5-98ed-a5055f8bd79c,1,7,8,47,10,11,11,11,WG19-00020,RT015_TL174.1.7.8.47.10.11,RT015_TL174,,
Y19-1836-SP,1,7,8,47,137,148,153,161,WG19-00052,RT015_TL174.1.7.8.47.137.148,RT015_TL174,,
Y19-1853-R,1,7,8,47,137,148,153,162,WG19-00052,RT015_TL174.1.7.8.47.137.148,RT015_TL174,,
Y19-1853-SP,1,7,8,47,137,148,153,162,WG19-00052,RT015_TL174.1.7.8.47.137.148,RT015_TL174,,
Y19-3044,1,7,8,47,137,148,153,162,WG19-00052,RT015_TL174.1.7.8.47.137.148,RT015_TL174,1237,2019-09-17
Y19-3044,1,7,8,47,137,148,153,162,WG19-00052,RT015_TL174.1.7.8.47.137.148,RT015_TL174,1952,2019-09-17
Y19-3044,1,7,8,47,137,148,153,162,WG19-00052,RT015_TL174.1.7.8.47.137.148,RT015_TL174,2200,2019-09-17
Y19-2222,1,7,8,47,174,194,200,217,WG19-00059,RT015_TL174.1.7.8.47.174.194,RT015_TL174,,
Y19-2222R,1,7,8,47,174,194,200,217,WG19-00059,RT015_TL174.1.7.8.47.174.194,RT015_TL174,,
Y19-2222SP,1,7,8,47,174,194,200,217,WG19-00059,RT015_TL174.1.7.8.47.174.194,RT015_TL174,,
Y19-2223,1,7,8,47,174,194,200,217,WG19-00059,RT015_TL174.1.7.8.47.174.194,RT015_TL174,,
Y19-2306,1,7,8,47,180,202,208,226,WG19-00061,RT015_TL174.1.7.8.47.180.202,RT015_TL174,,
Y19-2380,1,7,8,47,180,202,208,226,WG19-00061,RT015_TL174.1.7.8.47.180.202,RT015_TL174,,
3198,1,7,8,47,196,223,232,259,WG19-00077,RT015_TL174.1.7.8.47.196.223,RT015_TL174,1157,2019-09-16
Y19-3198,1,7,8,47,196,223,232,259,WG19-00077,RT015_TL174.1.7.8.47.196.223,RT015_TL174,1157,2019-09-16
1140,1,7,8,47,51,54,55,57,WG19-00027,RT015_TL174.1.7.8.47.51.54,RT015_TL174,,
Y19-1611,1,7,8,47,51,54,149,156,WG19-00027,RT015_TL174.1.7.8.47.51.54,RT015_TL174,,
Y19-2218,1,7,8,47,51,54,149,216,WG19-00027,RT015_TL174.1.7.8.47.51.54,RT015_TL174,,
1182SP,1,7,8,47,56,59,61,64,WG19-00030,RT015_TL174.1.7.8.47.56.59,RT015_TL174,,
1501,1,7,8,47,56,59,61,64,WG19-00030,RT015_TL174.1.7.8.47.56.59,RT015_TL174,,
Y19-2164,1,7,8,47,67,160,165,175,WG19-00055,RT015_TL174.1.7.8.47.67.160,RT015_TL174,,
